Component	CO2 	 CH4	N2O	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	H-1202	C3F8	C4F10	C5F12	C7F16	C8F18	cC4F8	SO2F2	HFC236fa	HFC152a	HFC365mfc	CH2Cl2	CHCl3	CH3Cl	NF3 
Unit 	 ppm	ppb	ppb	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total
Reference	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	No data	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	No data	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical	historical
1750	278.377857	729.2	270.1	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.91	4.8	457.0	0.0
1751	278.44991388	729.984	270.12	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9100276128	4.8	457.0	0.0
1752	278.52197076	730.768	270.14000000000004	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9100552256	4.8	457.0	0.0
1753	278.59402764	731.552	270.16	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9100828384	4.8	457.0	0.0
1754	278.66608452	732.336	270.18	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9101104512000004	4.8	457.0	0.0
1755	278.7381414	733.12	270.20000000000005	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.910138064	4.8	457.0	0.0
1756	278.81019828	733.904	270.22	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9101656768	4.8	457.0	0.0
1757	278.88225516	734.688	270.24	0.0	0.0	0.0	0.0	0.0	5.299997818	0.025000429	0.0	0.0	0.0	0.0	0.0	0.004446573	0.0	0.0	0.0	0.0	0.0	3.95e-06	0.0	0.0	0.000218389	0.0	1.29e-06	0.0	34.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1e-05	0.0	0.0	0.0	6.9101932896000005	4.8	457.0	0.0
