Component	CO2 	 CH4	N2O	CFC-11	CFC-12	CFC-113	CFC-114	CFC-115	CH3Br	CCl4	CH3CCl3	HCFC-22	HCFC-141b	HCFC-123	HCFC-142b	H-1211	H-1301	H-2402	HFC125	HFC134a	HFC143a	HFC227ea	HFC23	HFC245fa	HFC32	HFC4310mee	C2F6	C6F14	CF4	SF6	H-1202	C3F8	C4F10	C5F12	C7F16	C8F18	cC4F8	SO2F2	HFC236fa	HFC152a	HFC365mfc	CH2Cl2	CHCl3	CH3Cl	NF3 
Unit 	 ppm	ppb	ppb	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt	ppt
Description 	 fossil_fuel 	 landuse 	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total	 total
Reference	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	igcc_historical	No data	igcc_historical	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	igcc_historical	No data	igcc_historical	igcc_historical	No data	igcc_historical	No data	No data	igcc_historical	igcc_historical	No data	igcc_historical	No data	No data	No data	igcc_historical	igcc_historical	igcc_historical	igcc_historical
1750	278.377857	729.200000	270.100000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910000	4.800000	457.000000	0.000000
1751	278.449914	729.984000	270.120000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910028	4.800000	457.000000	0.000000
1752	278.521971	730.768000	270.140000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910055	4.800000	457.000000	0.000000
1753	278.594028	731.552000	270.160000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910083	4.800000	457.000000	0.000000
1754	278.666085	732.336000	270.180000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910110	4.800000	457.000000	0.000000
1755	278.738141	733.120000	270.200000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910138	4.800000	457.000000	0.000000
1756	278.810198	733.904000	270.220000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910166	4.800000	457.000000	0.000000
1757	278.882255	734.688000	270.240000	0.000000	0.000000	0.000000	0.000000	0.000000	5.299998	0.025000	0.000000	0.000000	0.000000	0.0	0.000000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000001	0.0	34.050000	0.000000	0.0	0.000000	0.0	0.0	0.000000	0.000000	0.0	0.000021	0.0	0.0	0.0	6.910193	4.800000	457.000000	0.000000
